File,total_chunks,total_samples,total_compressed_bytes,bits_per_sample,successful_chunk_count,failed_chunk_count,success_rate,any_failed
PAO89685_pass__2264ba8c_afee3a87_0.csv,9271,689203485,587742905,6.822285931998733,9271,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_1.csv,11344,916155945,780477068,6.815233343271052,11344,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_103.csv,15024,1313636219,1106630498,6.739342183134492,15024,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_100.csv,17494,1586726397,1333289548,6.722215250320815,17494,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_101.csv,16944,1526286463,1283630123,6.728121642260808,16944,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_10.csv,13253,1109412490,939624047,6.775651476575678,13253,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_102.csv,15940,1414766792,1192462778,6.742950342023578,15940,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_104.csv,18170,1650923857,1387497581,6.723496423493746,18170,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_105.csv,16742,1508298238,1269554328,6.733704494322959,16742,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_106.csv,16812,1511626804,1271141960,6.727279281560027,16812,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_107.csv,17801,1614118598,1355334342,6.71739657137635,17801,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_108.csv,17705,1605903133,1349495324,6.722673597274811,17705,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_109.csv,17852,1615012997,1356014474,6.7170455049904465,17852,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_11.csv,12559,1043301439,885594206,6.790706293658242,12559,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_110.csv,16793,1513237863,1271529405,6.722165423374686,16793,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_111.csv,17467,1582330882,1328418132,6.7162596501734715,17467,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_112.csv,17703,1605324564,1347311447,6.714213323406169,17703,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_113.csv,16975,1528387431,1283331214,6.717308389066437,16975,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_114.csv,18033,1638542039,1375423260,6.715351707860576,18033,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_115.csv,16324,1458743164,1222066797,6.702025837908228,16324,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_116.csv,17577,1594073542,1339256389,6.72117742984282,17577,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_117.csv,17615,1594745289,1340151501,6.7228366071693095,17615,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_118.csv,14969,1313545663,1105808262,6.734799059665427,14969,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_119.csv,17111,1538300928,1295779571,6.738757273895372,17111,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_12.csv,11701,940636191,798166534,6.788312349763714,11701,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_120.csv,16498,1469900237,1237988927,6.737811973017594,16498,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_121.csv,15708,1389173052,1171645485,6.747297513801758,15708,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_122.csv,15979,1417536064,1194516988,6.741370570167025,15979,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_123.csv,16059,1424809928,1199931783,6.737357787417102,16059,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_124.csv,16011,1422323823,1197960728,6.738047742029559,16011,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_125.csv,15274,1343656941,1132358552,6.741950374072455,15274,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_126.csv,16084,1426254742,1201056763,6.736842880204075,16084,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_13.csv,11393,909541697,770911103,6.780655405180396,11393,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_14.csv,13602,1151607984,975000322,6.773140412684044,13602,0,1.0,0
