File,total_chunks,total_samples,total_compressed_bytes,bits_per_sample,successful_chunk_count,failed_chunk_count,success_rate,any_failed
PAO89685_pass__2264ba8c_afee3a87_104.csv,18170,1650923857,1416257596,6.862860888441325,18170,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_10.csv,13253,1109412490,960648338,6.927258141829645,13253,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_101.csv,16944,1526286463,1310455973,6.868728799044587,16944,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_100.csv,17494,1586726397,1360892831,6.861386228012693,17494,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_102.csv,15940,1414766792,1217894888,6.886759824371111,15940,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_1.csv,11344,916155945,799093254,6.977792445586324,11344,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_103.csv,15024,1313636219,1130129031,6.882447451762899,15024,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_0.csv,9271,689203485,601982588,6.987574510015718,9271,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_105.csv,16742,1508298238,1296278401,6.8754487320431386,16742,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_106.csv,16812,1511626804,1297668520,6.867666101533351,16812,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_107.csv,17801,1614118598,1383149966,6.855258183451028,17801,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_108.csv,17705,1605903133,1377512048,6.862242284447925,17705,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_109.csv,17852,1615012997,1383938611,6.855368290265221,17852,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_11.csv,12559,1043301439,905920871,6.946570470511927,12559,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_110.csv,16793,1513237863,1297955034,6.861869191809933,16793,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_111.csv,17467,1582330882,1355763281,6.8545121449509825,17467,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_112.csv,17703,1605324564,1374936150,6.851878708310851,17703,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_113.csv,16975,1528387431,1309809590,6.855903488518024,16975,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_114.csv,18033,1638542039,1403783225,6.853816095468516,18033,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_115.csv,16324,1458743164,1247224747,6.839996390207591,16324,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_116.csv,17577,1594073542,1367098661,6.860906350831335,17577,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_117.csv,17615,1594745289,1367932208,6.86219783151841,17615,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_118.csv,14969,1313545663,1129150710,6.876963576103711,14969,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_119.csv,17111,1538300928,1323190296,6.881307925727261,17111,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_12.csv,11701,940636191,816353366,6.942989213563015,11701,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_120.csv,16498,1469900237,1263917073,6.878927106397902,16498,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_121.csv,15708,1389173052,1196603031,6.89102357277803,15708,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_122.csv,15979,1417536064,1219775852,6.883921378666243,15979,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_123.csv,16059,1424809928,1225176123,6.879099303973969,16059,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_124.csv,16011,1422323823,1223190873,6.879957169922197,16011,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_125.csv,15274,1343656941,1156313302,6.884574576837616,15274,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_126.csv,16084,1426254742,1226329380,6.878599419233342,16084,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_13.csv,11393,909541697,788295857,6.933565417397241,11393,0,1.0,0
PAO89685_pass__2264ba8c_afee3a87_14.csv,13602,1151607984,996692727,6.923833393638577,13602,0,1.0,0
